TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place,,,
A00712,99852767,18110,STC 10843; ESTC S117554,Free,"Fidelitas.; Vitell, Christopher, fl. 1555-1579.; Niclaes, Hendrik, 1502?-1580?",1574,"Fidelitas. A distinct declaratio[n] of the requiring of the Lorde and of the godlie testimonies of the holie spirit of the loue of Iesu Christ. Set-fourth by Fidelitas, a fellowe-elder with HN, in the famelie of the loue. Translated out of Base-almayne; Fidelitas. A distinct declaration of the requiring of the Lorde and of the godlie testimonies of the holie spirit of the love of Jesu Christ.",Familists -- Early works to 1800.,48,Cologne,,,
A00714,99852768,18111,STC 10844; ESTC S117555,Free,"Fielde, John, d. 1588.",1581,"A caueat for Parsons Hovvlet concerning his vntimely flighte, and seriching in the cleare day lighte of the Gospell, necessarie for him and all the rest of that darke broode, and vncleane cage of papistes, vvho vvith their vntimely bookes, seeke the discredite of the trueth, and the disquiet of this Church of England. VVritten by Iohn Fielde, student in Diuinitie.","Parsons, Robert, 1546-1610. -- Brief discours contayning certayne reasons why Catholiques refuse to goe to church.; Catholic Church -- Controversial literature -- Early works to 1800.",122, London,,,
A00718,99837821,2165,STC 10848; ESTC S102020,Free,"Fielde, John, d. 1588.; Gwalther, Rudolf, 1519-1586.; BÃŒÂ¬ze, ThÃŒÂ©odore de, 1519-1605.; T. W. (Thomas Wilcox), 1549?-1608.",1572,An admonition to the Parliament,Church of England. -- Controversial literature -- Anglican authors.,60,Hemel Hempstead?,,,
A00723,99841212,5776,STC 10852; ESTC S105484,Free,"Field, Nathan, 1587-1620?",1618,"Amends for ladies VVith the humour of roring. A comedie. As it was acted at the Blacke Fryers, both by the Princes seruants, and the Lady Elizabeths. By Nat. Field.",,64,London,,,
A00725,99837844,2190,STC 10854; ESTC S102043,Free,"Field, Nathan, 1587-1620?",1612,"A vvoman is a vveather-cocke A new comedy, as it was acted before the King in White-Hall. And diuers times priuately at the White-Friers, by the Children of her Maiesties Reuels. Written by Nat: Field.",,70,  London,,,
A00726,99850317,15508,STC 10855; ESTC S115098,Free,"Field, Richard, 1561-1616.",1604,"A learned sermon preached before the King at VVhitehall, on Friday the 16 of March: by M. Doctor Field: Chaplaine to his Maiestie; Learned sermon preached before the King at Whitehall, on Friday the 16 of March.","Sermons, English -- 17th century.",44, London,,,
A00728,99856528,22096,STC 10858; ESTC S121344,Free,"Field, Richard, 1561-1616.; Field, Nathaniel, 1598 or 9-1666.",1628,Of the Church fiue bookes. By Richard Field Doctor of Diuinity and sometimes Deane of Glocester.,"Maihew, Edward, 1570-1625. -- Treatise of the groundes of the old and newe religion -- Early works to 1800.; Higgons, Theophilus, 1578?-1659. -- First motive of T.H. Maister of Arts, and lately minister, to suspect the integrity of his religion -- Controversial literature -- Early works to 1800.; Anderton, Lawrence. -- Apologie of the Romane Church -- Controversial literature -- Early works to 1800.; Catholic Church -- Controversial literature -- Early works to 1800.; First part of Protestants proofes, for Catholikes religion and recusancy -- Controversial literature -- Early works to 1800.; Church -- Early works to 1800.",942, Oxford,,,
A00730,99836638,922,STC 1086; ESTC S100811,Free,"Babington, Gervase, 1550-1610.",1592,"Certaine plaine, briefe, and comfortable notes vpon euerie chapter of Genesis Gathered and laid downe for the good of them that are not able to vse better helpes, and yet carefull to read the worde, and right heartilie desirous to taste the sweete of it. By the Reuerend Father Geruase Babington, Bishop of Landaph.",Bible. -- O.T. -- Genesis -- Commentaries.,390,London,,,
A00734,99837857,2204,STC 10865; ESTC S102056,Free,"Figueiro, Vasco, gentleman of Portingale.; H. O., fl. 1592.",1592,"The Spaniards monarchie, and Leaguers olygarchie. Layd open in an aduerisement [sic], written by Signor Vasco Figueiro a gentleman of Portingale to the rebellious French: wherein is discouered the tyrannie of the one ouer the kingdome of Portingale, and the treacherous rebellion of the other in the kingdome of France, with a patheticall persuasion to the French to returne to the obedience of their naturall and legitimate king. Englished by H.O.",Sainte Ligue (1576-1593) -- Controversial literature.; Europe -- History -- 1517-1648 -- Early works to 1800.,50, London,,,
A00737,29900242,28103,STC 10869.5; ESTC S3043,Free,"Finch, Mr.",1635,"Finch his alphabet, or, A godly direction, fit to be perused of each true Christian","Devotional literature -- Early works to 1800.; Religious poetry, English -- Early modern, 1500-1700.; Broadsides -- London (England) -- 17th century.",1,  London,,,
A00742,99837810,2153,STC 10872.5; ESTC S102008,Free,"Finch, Henry, Sir, d. 1625.; Fenner, Dudley, 1558?-1587.",1589,The sacred doctrine of diuinitie gathered out of the worde of God. Togither with an explication of the Lordes prayer.,"Lord's prayer -- Early works to 1800.; Theology, Doctrinal -- Early works to 1800.",80,Middelburg,,,
A00746,99837895,2242,STC 10874; ESTC S102095,Free,"Finch, Henry, Sir, d. 1625.; Gouge, William, 1578-1653.",1621,"The calling of the Ievves A present to Iudah and the children of Israel that ioyned with him, and to Ioseph (the valiant tribe of Ephraim) and all the house of Israel that ioyned with him. The Lord giue them grace, that they may returne and seeke Iehovah their God, and Dauid their King, in these latter dayes. There is prefixed an epistle vnto them, written for their sake in the Hebrue tongue, and translated into English. Published by William Gouge, B. of D. and preacher of Gods word in Blackefryers. London.",Jews -- Restoration -- Early works to 1800.,326,London,,,
A00748,23728596,26838,STC 10877.5; ESTC S4676,Free,"Finch, Richard, minister of East Ham.",1590,"The epiphanie of the church gathered out of the Holy Scriptures, declaring and plainly shevving, both the church that cannot but erre, and also the church that cannot erre : vvith so evident notes and manifest signes of either of them, that no man reading it, needeth be in doubt which he should beleue / written by R.P. in the yeare of our Lord God 1550 ; and now published in this yeare 1590 for the benefite of all such as desire the trueth concerning the church.",Catholic Church -- Controversial literature.; Church of England -- Apologetic works.,52,London,,,
A00749,99850256,15445,STC 10877; Wing O330A; ESTC S115037,Free,,1640,"On wings of feare, Finch flies away One paire of legges is worth two paire of hands: whirre. Alas poore Will, hee's forc'd to stay. Ide try the conclusion, were I out of these bands. Heigh-ho.","Finch of Fordwich, John Finch, -- Baron, 1584-1660.; Laud, William, 1573-1645.",1,London?,,,
A00750,99843120,7830,STC 10878.7; ESTC S107419,Free,"Fine, Oronce, 1494-1555.; Baker, Humfrey, fl. 1557-1587.",1558,"The rules and righte ample documentes, touchinge the vse and practise of the common almanackes, which are named ephemerides A briefe and shorte introduction vpon the iudiciall astrologie, for to prognosticate of thinges to come, by the helpe of the sayde ephemerides. With a treatise added hereunto, touchinge the coniunction of the planets, in euery one of the. 12. signes, and of their prognostications and reuolutions of yeres. The hole faithfully, and clerely translated into Englyshe by Humfrey Baker.; Canons & documents tresamples, touchant l'usage & practique des communs almanachz, que l'on nomme ephemerides. English",Astrology -- Early works to 1800.; Ephemerides -- Early works to 1800.,107, London,,,
A00753,99836415,686,STC 1088; ESTC S100580,Free,"Babington, Gervase, 1550-1610.",1604,"Comfortable notes vpon the bookes of Exodus and Leuiticus, as before vpon Genesis Gathered and laid downe still in this plaine manner, for the good of them that cannot vse better helpes, and yet are carefull to read the Scriptures, and verie desirous to finde the comfort in them. By the Reuerend Father in God Geruase Babington ... With a table of the principall matters contained in this booke.",Bible. -- O.T. -- Exodus -- Commentaries.; Bible. -- O.T. -- Leviticus -- Commentaries.,712, London,,,
A00755,99841328,5903,STC 10881; ESTC S105601,Free,"Fioravanti, Leonardo, 1518-1588.; Hester, John, d. 1593.",1580,"A short discours of the excellent doctour and knight, maister Leonardo Phiorauanti Bolognese vppon chirurgerie VVith a declaration of many thinges, necessarie to be knowne, neuer written before in this order: whervnto is added a number of notable secretes, found out by the saide author. Translated out of Italyan into English, by Iohn Hester, practicioner in the arte of distillation.; Cirugia. English",Medicine -- Early works to 1800.,144, London,,,
A00758,99837881,2228,STC 10884; ESTC S102081,Free,"Fish, Simon, d. 1531. Supplicacyon for the beggers. aut; Brinkelow, Henry, d. 1546, attributed name.; Crowley, Robert, 1518?-1588, attributed name.",1546,A supplication of the poore commons Whereunto is added the supplication of beggers.,Clergy -- England -- Early works to 1800.; England -- Economic conditions.,66,London,,,
A00760,99837888,2235,STC 10886; ESTC S102088,Free,"Fisher, Jasper, b. 1591.",1633,"Fuimus Troes ÃŒÂ neid. 2. The true Troianes, being a story of the Britaines valour at the Romanes first inuasion: Publikely represented by the gentlemen students of Magdalen Colledge in Oxford.",,72,London,,,
A00761,99853900,19301,STC 10887; ESTC S118693,Free,"Fisher, Jasper, b. 1591.",1636,"The priest's duty & dignity. Preached at the trienniall visitation in Ampthill 1635. August 18. by Jasper Fisher Presbyter, and Rector of Willden in Bedford-shire. And published by command","Sermons, English -- 17th century.",59,London,,,
A00762,99849489,14639,STC 10888; ESTC S114263,Free,"Fisher, John, Saint, 1469-1535.; Montagu, Anthony Browne, Viscount, ca. 1528-1592.",1560,"A Godlie treatisse declaryng the benefites, fruites, and great commodities of prayer and also the true vse therof. Written in Latin, fourtie yeres past, by an Englyshe man, of great vertue [and] learnyng. And lately translated into Englyshe. 1560.; Tractatus de orando Deum. English",Prayer -- Early works to 1800.,100, London,,,
A00766,99841330,5905,STC 10891; ESTC S105603,Free,"Fisher, John, Saint, 1469-1535.",1509,"Here after foloweth a mornynge remembrau[n]ce had at the moneth mynde of the noble prynces Margarete countesse of Rychemonde [et] Darbye moder vnto kynge Henry the. vii. [et] grandame to oure souerayne lorde that nowe is, vppon whose soule almyghty god haue mercy; Mornynge remembraunce","Beaufort, Margaret, -- Countess of Richmond and Derby, 1443-1509.",26,  London,,,
A00769,99845347,10241,STC 10892; ESTC S109701,Free,"Fisher, John, Saint, 1469-1535.",1526,"A sermon had at Paulis by the co[m]mandment of the most reuerend father in god my lorde legate, and sayd by Ioh[a]n the bysshop of Rochester, vpo[n] qui[n]quagesom sonday, concernynge certayne heretickes, whiche tha[n] were abiured for holdynge the heresies of Martyn Luther that famous hereticke, and for ye kepyng and reteynyng of his bokes agaynst the ordinance of the bulle of pope Leo the tenthe.","Sermons, English -- 16th century.",64, London,,,
A00771,99841343,5919,STC 10894; ESTC S105616,Free,"Fisher, John, Saint, 1469-1535.",1521,The sermon of Ioh[a]n the bysshop of Rochester made agayn the p[er]nicious doctryn of Martin luther w[i]t[h]in the octaues of the asce[n]syon by the assigneme[n]t of the most reuerend fader i[n] god the lord Thomas Cardinal of Yorke [and] legate ex latere from our holy father the pope.,"Luther, Martin, 1483-1546 -- Controversial literature.; Luther, Martin, 1483-1546 -- Early works to 1800.; Sermons, English.",45,London,,,
A00776,99845357,10251,STC 10899; ESTC S109711,Free,"Fisher, John, Saint, 1469-1535.",1578,"A spirituall consolation, written by Iohn Fyssher Bishoppe of Rochester, to hys sister Elizabeth, at suche tyme as hee was prisoner in the Tower of London. Uery necessary, and commodious for all those that mynde to leade a vertuous lyfe: also to admonishe them, to be at all tymes prepared to dye, and seemeth to bee spoken in the person of one that was sodainly preue[n]ted by death","Prisoners' writings, English -- Early works to 1800.; Theology -- Early works to 1800.; Death -- Religious aspects -- Early works to 1800.",144,London,,,
A00777,99836230,488,STC 109; ESTC S100388,Free,"Adams, Thomas, fl. 1612-1653.",1616,"Diseases of the soule a discourse diuine, morall, and physicall. By Tho. Adams.",Sin -- Early works to 1800.,84,London,,,
A00778,99837313,1629,STC 1090; ESTC S101499,Free,"Babington, Gervase, 1550-1610.",1588,"A profitable exposition of the Lords prayer, by way of questions and answers for most playnnes together with many fruitfull applications to the life and soule, aswell for the terror of the dull and dead, as for the sweet comfort of the tender harted. By Geruase Babington. With a table of the principall matters conteyned in this booke.",Lord's prayer -- Commentaries.,582, London,,,
A00779,99841341,5917,STC 10900; ESTC S105614,Free,"Fisher, John, Saint, 1469-1535.",1509,"This sermon folowynge was compyled [and] sayd in the cathedrall chyrche of saynt Poule within ye cyte of London by the ryght reuerende fader in god IohnÃ­Ã£ bysshop of Rochester, the body beyinge present of the moost famouse prynce kynge Henry the. vij. the. x. day of Maye, the yere of our lorde god. M.CCCCC.ix. whiche sermon was enprynted at the specyall request of ye ryght excellent pryncesse Margarete moder vnto the sayd noble prynce and Countesse of Rychemonde and Derby","Sermons, English -- 16th century.",26,  London,,,
A00789,99841351,5928,STC 10909; ESTC S105624,Free,"Fisher, John, Saint, 1469-1535.",1532,"Here after ensueth two fruytfull sermons, made [and] compyled by the ryght Reuerende father in god IohnÃ­Ã£ Fyssher, Doctour of Dyuynyte and Bysshop of Rochester","Sermons, English.",60,Newly   London,,,
A00791,99843406,8138,STC 10910.4; ESTC S107710,Free,"A. C.; Champney, Anthony, 1569?-1643?, attributed name.; Sweet, John, 1570-1632, attributed name.; Floyd, John, 1572-1649, attributed name.; Fisher, John, 1569-1641, attributed name.",1623,"An answer to a pamphlet, intituled: The Fisher catched in his owne net In vvhich, by the vvay, is shevved, that the Protestant Church was not so visible, in al ages, as the true Church ought to be: and consequently, is not the true Church. Of which, men may learne infallible faith, necessarie to saluation. By A.C.","Featley, Daniel, 1582-1645. -- Fisher catched in his owne net -- Controversial literature -- Early works to 1800.; Protestantism -- Controversial literature -- Early works to 1800.",106,London,,,
A00792,99854878,20333,STC 10910; ESTC S119671,Free,"Fisher, John, of Chester.",1565,"The copy of a letter describing the wonderful woorke of God in deliuering a mayden within the city of Chester, from an horrible kinde of torment and sicknes 16. of february 1564","Milner, Anne.; Lane, John, d. 1605.; Exorcism -- Early works to 1800.",19, London,,,
A00793,99837912,2259,STC 10911; ESTC S102112,Free,"Fisher, John, 1569-1641.; Floyd, John, 1572-1649.",1626,"The answere vnto the nine points of controuersy, proposed by our late soueraygne (of famous memory) vnto M. Fisher of the Society of Iesus And the reioynder vnto the reply of D. Francis VVhite minister. With the picture of the sayd minister, or censure of his writings prefixed.","White, Francis, 1564?-1638. -- Replie to Jesuit Fishers answere to certain questions propounded by King James.; Catholic Church -- Apologetic works.",656,Saint-Omer,,,
A00794,99837914,2261,STC 10912; ESTC S102114,Free,"Fisher, John, 1569-1641.",1614,"A catalogue of diuers visible professors of the Catholike faith Which sheweth, that the Roman Church hath byn (as the true Church must be) continually visible, in all ages since Christ. Taken out of the appendix to the Reply of A.D. vnto M. Ant. Wotton, and M. Ioh. White ministers.; Reply made unto Mr. Anthony Wotton and Mr. John White ministers. Selections",Catholic Church -- Apologetic works.; Catholics -- Early works to 1800.,35,Saint-Omer,,,
A00796,23044544,26144,STC 10915.5; ESTC S2122,Free,"Fisher, John, 1569-1641.",1605,"A treatise of faith wherin is briefely, and planly [sic] shewed, a direct way, by which every man may resolue, and settle his minde, in all doubtes, questions, or controuersies, concerning matters of faith.",Catholic Church -- Doctrines.; Faith -- Catholic authors.,166,St. Omer,,,
A00797,99853562,27141,STC 10916.5; ESTC S118355,Free,"A. C.; Sweet, John, 1570-1632, attributed name.; Floyd, John, 1572-1649, attributed name.; Fisher, John, 1569-1641, attributed name.",1626,"True relations of sundry conferences had between certaine Protestant doctours and a Iesuite called M. Fisher (then prisoner in London for the Catholique fayth:) togeather with defences of the same. In which is shewed, that there hath alwayes beene, since Christ, a visible church, and in it a visible succession of doctours & pastours, teaching the vnchanged doctrine of fayth, left by Christ and his apostles, in all points necessary to saluation and that not Protestants, but only Roman Catholiques haue had, and can shew such a visible church, and in it such a succesion of pastours and doctours, of whome men may securely learne what pointe of fayth are necessary to saluation. / By A.C.","White, Francis, 1564?-1638. -- Replie to jesuit Fishers answere to certain questions propounded by king James.; Featley, Daniel, 1582-1645. -- Romish Fisher caught and held in his owne net.; Catholic Church -- Apologetic works.; Catholics -- Early works to 1800.",92,Saint-Omer,,,
A00799,99847582,12621,STC 10917; ESTC S112327,Free,"Fisher, John, student in Oxford.",1558,"[3 dialogues in verse, between Gelasimus and Spudaeus, Eda and Agna, and Wisdom and Wyll]","Dialogues, English -- Early works to 1800.; English poetry -- Early modern, 1500-1700 -- Early works to 1800.",54, London,,,
A00800,99852769,18112,STC 10919; ESTC S117556,Free,"Fisher, William, student of diuinitie.",1592,"A godly sermon preached at Paules Crosse the 31. day of October 1591. By VVilliam Fisher, Master and keeper of the hospitall of Ilford in Essex. ... Seene and allowed","Sermons, English -- 16th century.",65, London,,,
A00801,99845972,10905,STC 1092; ESTC S110424,Free,"Babington, Gervase, 1550-1610.",1591,A sermon preached at Paules Crosse the second Sunday in Mychaelmas tearme last. 1590. By Geruase Babington D. of Diuinitie. Not printed before this 23. of August. 1591,"Sermons, English -- 16th century.",81, London,,,
A00808,99852960,18315,STC 10929; ESTC S117750,Free,"Fit John, John.",1577,"A diamonde most precious, worthy to be marked instructing all maysters and seruauntes, how they ought to leade their lyues, in that uocation which is fruitfull, and necessary, as well for the maysters, as also for the seruants, agreeable vnto the holy Scriptures. Reade me ouer, and then iudge, if I be not well, then grudge: thinke well of him that mee made, for Gods worde shall neuer fade.",Master and servant -- Early works to 1800.,110, London,,,
A00816,99837948,2298,STC 10937; ESTC S102148,Free,"Fitz-Geffry, Charles, 1575?-1638.",1637,"Compassion towards captives chiefly towards our brethren and country-men who are in miserable bondage in Barbarie. Vrged and pressed in three sermons on Heb. 13.3. Preached in Plymouth, in October 1636. By Charles Fitz-Geffry.","Pirates -- Sermons -- Early works to 1800.; Sermons, English -- 17th century.",72,Oxford,,,
A00818,99850294,15485,STC 10939; ESTC S115075,Free,"Fitz-Geffry, Charles, 1575?-1638.",1631,"The curse of corne-horders with the blessing of seasonable selling. In three sermons, on Pro. II.26. Begun at the general sessions for the county of Cornwall, held at Bodmyn, and continued at Fowy. By Charles Fitz-Geffrie.",Food supply -- Great Britain -- Sermons -- Early works to 1800.,70,  London,,,
A00819,99836411,682,STC 1094; ESTC S100575,Free,"Babington, Gervase, 1550-1610.",1591,"A sermon preached at the Court at Greenewich the XXIIII. of May, 1591. By Geruase Babington Doctor of Diuinitie","Sermons, English -- 16th century.",44, London,,,
A00823,99841344,5920,STC 10943; ESTC S105617,Free,"Fitz-Geffry, Charles, 1575?-1638.",1596,"Sir Francis Drake his honorable lifes commendation, and his tragicall deathes lamentation.","Drake, Francis, -- Sir, 1540?-1596 -- Poetry -- Early works to 1800.",106, Oxford,,,
A00825,99852035,17335,STC 10945.3; ESTC S116819,Free,"Fitzgeffrey, Henry.; Beaumont, Francis, 1584-1616.; Drayton, Michael, 1563-1631.; Hookes, Nathaniel, fl. 1618, attributed name.",1618,"Certain elegies, done by sundrie excellent wits With satyres and epigrames.; Satyres: and satyricall epigrams","Epigrams, English -- 17th century.",152,London,,,
A00826,99849114,14249,STC 10945; ESTC S113885,Free,"Fitzgeffrey, Henry.",1617,Satyres: and satyricall epigrams with certaine obseruations at Black-Fryers? By H:F: of Lincolnes-Inne gent,"Epigrams, English -- 17th century.",110,London,,,
A00831,99844060,8844,STC 1095; ESTC S108401,Free,"Babington, Gervase, 1550-1610.",1583,"A very fruitfull exposition of the Commaundements by way of questions and answeres for greater plainnesse together with an application of euery one to the soule and conscience of man, profitable for all, and especially for them that (beeing not otherwise furnished) are yet desirous both to see themselues, and to deliuer to others some larger speech of euery point that is but briefly named in the shorter catechismes. By Geruase Babington.",Ten commandments -- Commentaries -- Early works to 1800.,568, London,,,
A00880,34382733,29068,STC 10993.9; ESTC S4009,Free,"Fitzherbert, Anthony, Sir, 1470-1538.; Harvey, Gabriel, 1550?-1631.",1579,"In this booke is contayned the offices of shyriffes, bayliffes of lybertyes, escheatours, constables, and coroners and shewed what euerye one of them may doe by vertue of their offices, drawen out of bookes of the common lawe and of the statutes.; Office et auctoryte des iustyces de peas. English. Selections",Sheriffs -- Great Britain.; Bailiffs -- Great Britain.; Constables -- Great Britain.; Coroners -- Great Britain.,112,  London,,,
A00883,99847507,12544,STC 10995; ESTC S112249,Free,"Fitzherbert, John, d. 1531.; Fitzherbert, Anthony, Sir, 1470-1538.",1530,"Here begynneth a newe tracte or treatyse moost p[ro]fytable for all husba[n]de men and very frutefull for all other persones to rede, newly correcte [sic] [and] amended by the auctour, with dyuerse other thynges added thervnto.; Book of husbandry",Agriculture -- Early works to 1800.,140,  London,,,
A00884,99857264,22958,STC 10996; ESTC S122112,Free,"Fitzherbert, John, d. 1531.; Fitzherbert, Anthony, Sir, 1470-1538, attributed name.",1540,The boke of husbandryÃ¥Ã¡,Agriculture -- Early works to 1800.,196,  London,,,
A00888,20178045,23676,STC 110.5; ESTC S1413,Free,"Adams, Thomas, fl. 1612-1653.",1614,"The deuills banket described in foure sermons [brace], 1. The banket propounded, begunne, 2. The second seruice, 3. The breaking vp of the feast, 4. The shot or reckoning, [and] The sinners passing-bell, together with Phisicke from heauen / published by Thomas Adams ...","Church of England -- Sermons.; Sermons, English -- 17th century.",358,London,,,
A00895,99847511,12548,STC 11005; ESTC S112253,Free,"Fitzherbert, John, d. 1531.; Fitzherbert, Anthony, Sir, 1470-1538.; Berthelet, Thomas. aut",1523,Here begynneth a ryght frutefull mater: and hath to name the boke of surueyeng and improume[n]tes; Book of surveying,Agriculture -- England -- Early works to 1800.; Landlord and tenant -- England -- Early works to 1800.,130, London,,,
A00908,99838036,2393,STC 11016; ESTC S102241,Free,"Fitzherbert, Thomas, 1552-1640.",1602,"A defence of the Catholyke cause contayning a treatise in confutation of sundry vntruthes and slanders, published by the heretykes, as wel in infamous lybels as otherwyse, against all english Catholyks in general, & some in particular, not only concerning matter of state, but also matter of religion: by occasion whereof diuers poynts of the Catholyke faith now in controuersy, are debated and discussed. VVritten by T.F. With an apology, or defence, of his innocency in a fayned conspiracy against her Maiesties person, for the which one Edward Squyre was wrongfully condemned and executed in Nouember ... 1598. wherewith the author and other Catholykes were also falsly charged. Written by him the yeare folowing, and not published vntil now, for the reasons declared in the preface of this treatyse.","Bacon, Francis, 1561-1626. -- Letter written out of England to an English gentleman remaining at Padua.; Catholic Church -- Apologetic works.; Catholics -- England -- Early works to 1800.",262,Antwerp,,,
A00916,99838059,2416,STC 11022; ESTC S102269,Free,"Fitzherbert, Thomas, 1552-1640.",1613,"An adioynder to the supplement of Father Robert Persons his discussion of M. Doctor Barlowes ansvvere &c. Contayning a discouery, and confutation of very many foule absurdityes, falsities, and lyes in M. D. Andrewes his Latin booke intituled, Responsio ad apologiam Cardinalis Bellarmini &c. An answere to the apology of Card. Bellarmine. Written by F.T. ... Also an appendix touching a register alleaged by M. Franc. Mason for the lawfull ordayning of Protestant bishops in Q. Elizabeths raigne.","Andrewes, Lancelot, 1555-1626. -- Responsio ad apologiam Cardinalis Bellarmini, quam nuper edidit contra praefationem monitoriam.; Mason, Francis, 1566?-1621. -- Of the consecration of the bishops in the Church of England.; Catholic Church -- Apologetic works.; Catholics -- England -- Early works to 1800.",542,Saint-Omer,,,
A00918,99853939,19342,STC 11024; ESTC S118732,Free,"Fitzjames, Richard, d. 1522.",1495,Sermo die lune in ebdomada Pasche,Sermons -- 15th century.,86,  Westmestre,,,
A00923,99853346,18727,STC 11029; ESTC S118137,Free,,1600,"Newes from Flaunders A new ballad of the great ouerthrow that the valliant Captaine Graue Maurice, Sir Frances Veere, and other of the Queene of Englands friends: gaue to the Archduke, and his army of Spaniards, vpon Sunday being the 22 of Iune last past, 1600. To the tune of lusty gallant.","Nieuport, Battle of, 1600 -- Early works to 1800.",1,London,,,
A00924,99855444,20938,STC 1103; ESTC S120245,Free,"Bazan, ÃŒÂlvaro de, marquÃŒÂ»s de Santa Cruz, 1526-1588.",1583,"A discourse of that which happened in the battell fought betweene the two navies of Spaine and Portugall, at the Ilands of the Azores. Anno Dom. 1582","Spain -- History -- Philip II, 1556-1598 -- Early works to 1800.; Spain -- Foreign Relations -- Portugal -- Early works to 1800.; Portugal -- Foreign Relations -- Spain -- Early works to 1800.; Portugal -- History -- Spanish dynasty, 1580-1640 -- Early works to 1800.",26, London,,,
A00926,99850325,15516,STC 11032; ESTC S115106,Free,"Flecknoe, Richard, d. 1678?",1640,"The affections of a pious soule, unto our Saviour-Christ Expressed in a mixt treatise of verse and prose. By Richard Flecknoe.",Devotional literature -- Early works to 1800.,64,London,,,
A00927,99856043,21559,STC 11033; ESTC S120850,Free,"Flecknoe, Richard, d. 1678?",1626,"Hierothelamium. Or, The heauenly nuptialls of our blessed Sauiour vvith a pious soule. Written by Richard Flecknoe.",,78,Saint-Omer,,,
A00930,99855862,21370,STC 11037.5; ESTC S120667,Free,"Fleming, Abraham, 1552?-1607.",1624,"The conduit of comfort Containing sundrie comfortable prayers, to the strengthening of the faith of a weak Christian. By Abr. Fleming.",Prayer-books -- Early works to 1800.,367,  London,,,
A00931,99838070,2428,STC 11037; ESTC S102280,Free,"Nausea, Friedrich, d. 1552.; Fleming, Abraham, 1552?-1607.",1580,"A bright burning beacon forewarning all wise virgins to trim their lampes against the comming of the Bridegroome. Conteining a generall doctrine of sundrie signes and wonders, specially earthquakes both particular and generall: a discourse of the end of this world: a commemoration of our late earthquake, the 6. of April, about 6. of the clocke in the euening 1580. And a praier for the appeasing of Gods wrath and indignation. Newly translated and collected by Abraham Fleming. The summe of the whole booke followeth in fit place orderly diuided into chapters.",Earthquakes -- Religious aspects -- Early works to 1800.; Omens -- Early works to 1800.,126,London,,,
A00932,99856974,22630,STC 11038; ESTC S121811,Free,"Fleming, Abraham, 1552?-1607.",1580,"An epitaph, or funerall inscription, vpon the godlie life and death of the right worshipfull Maister William Lambe Esquire founder of the new conduit in Holborne, &c. Deceased the one and twentith of April, and intumbed in S. Faiths Church vnder Povvles, the sixt of Maie next and immediatly follovving. Anno. 1580. Deuised by Abraham Fleming.","Lambe, William, 1495-1580 -- Poetry -- Early works to 1800.",1, London,,,
A00933,99851049,16302,STC 1104; ESTC S115832,Free,"Bazan, ÃŒÂlvaro de, marquÃŒÂ»s de Santa Cruz, 1526-1588.",1583,"Relation of the expongnable attempt and conquest of the yland of Tercera, and all the ylands thereto adioyning: don by Don Albaro de Bacan, Marques of Santa crnz [sic], the cheefe comme[n]dador of Leon, and captayne generall of his Maiestie. And of all the enemies that were in the sayd ylande, and of the bulwarkes, artilerie, and munitions of the citie of Angra, and townes and vilages thereto belonging: and of the dwellers therin, and of all the punishment that was done vpon them. Done in An. 1583",Terceira (Azores) -- History -- Early works to 1800.,60, London,,,
A00935,99838072,2430,STC 11041; ESTC S102282,Free,"Fleming, Abraham, 1552?-1607.; Fleming, Abraham, 1552?-1607. Footepath of faith, leading the highwaie to heaven. Selections.",1581,"The diamond of deuotion cut and squared into sixe seuerall points: namelie, 1 The footpath to felicitie. 1 2 A guide to godlines. 81 3 The schoole of skill. 181 4 A swarme of bees. 209 5 A plant of pleasure. 245 6 A groue of graces. 283 Full of manie fruitfull lessons, auaileable to the leading of a godlie and reformed life: by Abraham Fleming.","Conduct of life -- Early works to 1900.; Spiritual life -- Modern period, 1500-.",300,London,,,
A00939,99851225,16493,STC 11047; ESTC S116008,Free,"Fleming, Abraham, 1552?-1607.",1580,"A memoriall of the famous monuments and charitable almesdeedes of the right worshipfull Maister William Lambe esquire somtime gentleman of the chappell, in the reigne of the most renowmed [sic] King Henrie the eight, &c. and late citizen of London, and free of the right worshipfull companie of clothworkers: deceased the 21. of April. An. 1580. Recorded in print, according to the various and trueth of his last will and testament by Abraham Fleming.","Lambe, William, 1495-1580.",92,London,,,
A00940,99838073,2431,STC 11048; ESTC S102283,Free,"Autpertus, Ambrosius, d. 784.; Augustine, Saint, Bishop of Hippo.; Bernard, of Clairvaux, Saint, 1090 or 91-1153.; Fleming, Abraham, 1552?-1607.",1582,"A monomachie of motiues in the mind of man: or a battell betweene vertues and vices of contrarie qualitie Wherein the imperfections and weaknesses of nature appeare so naked, that anie reasonable soule may soone see by what spirit he is lead: herevnto also, besides sundrie deuout praiers necessarilie interlaced, diuers golden sentences of S. Barnard are annexed: and also a briefe conclusion of his vpon this theame, that victorie is obtained by resisting temptation. Newlie englished by Abraham Fleming.; De conflictu vitiorum et virtutum. English","Spiritual life -- Middle Ages, 600-1500.",342, London,,,
